experiment_id,algorithm,dataset,distribution,num_clients,dirichlet_alpha,differential_privacy,client_dropout_prob,final_accuracy,final_auc,training_rounds
exp_163,fedprox,heart,noniid,3,,true,0.0,0.824390243902439,0.9161859841355715,10
exp_164,fedprox,heart,noniid,5,,true,0.0,0.8009756097560976,0.9185366931581795,10
exp_165,fedprox,heart,noniid,10,,true,0.0,0.84,0.915778324710257,10
exp_166,fedprox,heart,noniid,3,,true,0.3,0.8185365853658536,0.917568978260704,10
exp_167,fedprox,heart,noniid,5,,true,0.3,0.8439024390243902,0.9308502937433802,10
exp_168,fedprox,heart,noniid,10,,true,0.3,0.806829268292683,0.9086728590260369,10
exp_169,fedprox,heart,noniid,3,,true,0.5,0.8078048780487805,0.9158545227336803,10
exp_170,fedprox,heart,noniid,5,,true,0.5,0.8458536585365853,0.922529469585559,10
exp_171,fedprox,heart,noniid,10,,true,0.5,0.7697560975609756,0.9107111561526094,10
exp_172,fedprox,heart,noniid,3,,false,0.0,0.833170731707317,0.9295511174440136,10
exp_173,fedprox,heart,noniid,5,,false,0.0,0.8390243902439024,0.9261907846110472,10
exp_174,fedprox,heart,noniid,10,,false,0.0,0.8595121951219512,0.9320389829087834,10
exp_175,fedprox,heart,noniid,3,,false,0.3,0.7053658536585365,0.926327941053209,10
exp_176,fedprox,heart,noniid,5,,false,0.3,0.7668292682926829,0.9253754657604181,10
exp_177,fedprox,heart,noniid,10,,false,0.3,0.8448780487804878,0.9271623094096939,10
exp_178,fedprox,heart,noniid,3,,false,0.5,0.6653658536585366,0.9134123760829644,10
exp_179,fedprox,heart,noniid,5,,false,0.5,0.8575609756097561,0.9295320679381577,10
exp_180,fedprox,heart,noniid,10,,false,0.5,0.8458536585365853,0.9361346266677842,10
exp_181,fedprox,heart,dirichlet,3,10.0,true,0.0,0.8360975609756097,0.9272232678284326,10
exp_182,fedprox,heart,dirichlet,3,1.0,true,0.0,0.848780487804878,0.9261831648087049,10
exp_183,fedprox,heart,dirichlet,5,10.0,true,0.0,0.8390243902439024,0.9209636002042106,10
exp_184,fedprox,heart,dirichlet,5,1.0,true,0.0,0.5804878048780487,0.9030265854903725,10
exp_185,fedprox,heart,dirichlet,10,10.0,true,0.0,0.6965853658536585,0.8981803912006523,10
exp_186,fedprox,heart,dirichlet,10,1.0,true,0.0,0.806829268292683,0.8872840738511243,10
